"Produkt_Code","SDO_ID","Timestamp","Value","Qualitaet_Niveau","Qualitaet_Byte"
"DD_MN008","1975","201901141200","310","0","3"
"DD_MN008","1975","201901141300","310","0","3"
"DD_MN008","1975","201901141400","300","0","3"
"DD_MN008","1975","201901141500","310","0","3"
"DD_MN008","1975","201901141600","290","0","3"
"DD_MN008","1975","201901141700","290","0","3"
"DD_MN008","1975","201901141800","290","0","3"
"DD_MN008","1975","201901141900","290","0","3"
"DD_MN008","1975","201901142000","290","0","3"
"DD_MN008","1975","201901142100","290","0","3"
"DD_MN008","1975","201901142200","300","0","3"
"DD_MN008","1975","201901142300","300","0","3"
"DD_MN008","1975","201901150000","300","0","3"
"DD_MN008","1975","201901150100","270","0","3"
"DD_MN008","1975","201901150200","260","0","3"
"DD_MN008","1975","201901150300","260","0","3"
"DD_MN008","1975","201901150400","260","0","3"
"DD_MN008","1975","201901150500","250","0","3"
"DD_MN008","1975","201901150600","250","0","3"
"DD_MN008","1975","201901150700","250","0","3"
"DD_MN008","1975","201901150800","260","0","3"
"DD_MN008","1975","201901150900","250","0","3"
"DD_MN008","1975","201901151000","250","0","3"
"DD_MN008","1975","201901151100","250","0","3"
"DD_MN008","1975","201901151200","250","0","3"
"DD_MN008","1975","201901151300","260","0","3"
"DD_MN008","1975","201901151400","260","0","3"
"DD_MN008","1975","201901151500","260","0","3"
"DD_MN008","1975","201901151600","260","0","3"
"DD_MN008","1975","201901151700","270","0","3"
"DD_MN008","1975","201901151800","270","0","3"
"DD_MN008","1975","201901151900","270","0","3"
"DD_MN008","1975","201901152000","260","0","3"
"DD_MN008","1975","201901152100","260","0","3"
"DD_MN008","1975","201901152200","270","0","3"
"DD_MN008","1975","201901152300","270","0","3"
"DD_MN008","1975","201901160000","260","0","3"
"DD_MN008","1975","201901160100","260","0","3"
"DD_MN008","1975","201901160200","250","0","3"
"DD_MN008","1975","201901160300","250","0","3"
"DD_MN008","1975","201901160400","240","0","3"
"DD_MN008","1975","201901160500","250","0","3"
"DD_MN008","1975","201901160600","240","0","3"
"DD_MN008","1975","201901160700","230","0","3"
"DD_MN008","1975","201901160800","230","0","3"
"DD_MN008","1975","201901160900","230","0","3"
"DD_MN008","1975","201901161000","240","0","3"
"DD_MN008","1975","201901161100","240","0","3"
"DD_MN008","1975","201901161200","230","0","3"
"DD_MN008","1975","201901161300","240","0","3"
"DD_MN008","1975","201901161400","230","0","3"
"DD_MN008","1975","201901161500","230","0","3"
"DD_MN008","1975","201901161600","220","0","3"
"DD_MN008","1975","201901161700","220","0","3"
"DD_MN008","1975","201901161800","220","0","3"
"DD_MN008","1975","201901161900","220","0","3"
"DD_MN008","1975","201901162000","220","0","3"
"DD_MN008","1975","201901162100","220","0","3"
"DD_MN008","1975","201901162200","210","0","3"
"DD_MN008","1975","201901162300","220","0","3"
"DD_MN008","1975","201901170000","220","0","3"
"DD_MN008","1975","201901170100","230","0","3"
"DD_MN008","1975","201901170200","240","0","3"
"DD_MN008","1975","201901170300","250","0","3"
"DD_MN008","1975","201901170400","250","0","3"
"DD_MN008","1975","201901170500","240","0","3"
"DD_MN008","1975","201901170600","240","0","3"
"DD_MN008","1975","201901170700","240","0","3"
"DD_MN008","1975","201901170800","240","0","3"
"DD_MN008","1975","201901170900","230","0","3"
"DD_MN008","1975","201901171000","240","0","3"
"DD_MN008","1975","201901171100","230","0","3"
"DD_MN008","1975","201901171200","240","0","3"
"DD_MN008","1975","201901171300","250","0","3"
"DD_MN008","1975","201901171400","260","0","3"
"DD_MN008","1975","201901171500","270","0","3"
"DD_MN008","1975","201901171600","260","0","3"
"DD_MN008","1975","201901171700","270","0","3"
"DD_MN008","1975","201901171800","250","0","3"
"DD_MN008","1975","201901171900","300","0","3"
"DD_MN008","1975","201901172000","260","0","3"
"DD_MN008","1975","201901172100","350","0","3"
"DD_MN008","1975","201901172200","340","0","3"
"DD_MN008","1975","201901172300","310","0","3"
"DD_MN008","1975","201901180000","320","0","3"
"DD_MN008","1975","201901180100","300","0","3"
"DD_MN008","1975","201901180200","320","0","3"
"DD_MN008","1975","201901180300","300","0","3"
"DD_MN008","1975","201901180400","320","0","3"
"DD_MN008","1975","201901180500","230","0","3"
"DD_MN008","1975","201901180600","230","0","3"
"DD_MN008","1975","201901180700","230","0","3"
"DD_MN008","1975","201901180800","220","0","3"
"DD_MN008","1975","201901180900","220","0","3"
"DD_MN008","1975","201901181000","270","0","3"
"DD_MN008","1975","201901181100","250","0","3"
"DD_MN008","1975","201901181200","250","0","3"
"DD_MN008","1975","201901181300","260","0","3"
"DD_MN008","1975","201901181400","250","0","3"
"DD_MN008","1975","201901181500","270","0","3"
"DD_MN008","1975","201901181600","240","0","3"
"DD_MN008","1975","201901181700","240","0","3"
"DD_MN008","1975","201901181800","240","0","3"
"DD_MN008","1975","201901181900","230","0","3"
"DD_MN008","1975","201901182000","210","0","3"
"DD_MN008","1975","201901182100","230","0","3"
"DD_MN008","1975","201901182200","220","0","3"
"DD_MN008","1975","201901182300","210","0","3"
"DD_MN008","1975","201901190000","230","0","3"
"DD_MN008","1975","201901190100","210","0","3"
"DD_MN008","1975","201901190200","160","0","3"
"DD_MN008","1975","201901190300","200","0","3"
"DD_MN008","1975","201901190400","190","0","3"
"DD_MN008","1975","201901190500","200","0","3"
"DD_MN008","1975","201901190600","230","0","3"
"DD_MN008","1975","201901190700","200","0","3"
"DD_MN008","1975","201901190800","200","0","3"
"DD_MN008","1975","201901190900","80","0","3"
"DD_MN008","1975","201901191000","150","0","3"
"DD_MN008","1975","201901191100","150","0","3"
"DD_MN008","1975","201901191200","140","0","3"
"DD_MN008","1975","201901191300","150","0","3"
"DD_MN008","1975","201901191400","150","0","3"
"DD_MN008","1975","201901191500","150","0","3"
"DD_MN008","1975","201901191600","130","0","3"
"DD_MN008","1975","201901191700","100","0","3"
"DD_MN008","1975","201901191800","110","0","3"
"DD_MN008","1975","201901191900","100","0","3"
"DD_MN008","1975","201901192000","110","0","3"
"DD_MN008","1975","201901192100","140","0","3"
"DD_MN008","1975","201901192200","150","0","3"
"DD_MN008","1975","201901192300","100","0","3"
"DD_MN008","1975","201901200000","100","0","3"
"DD_MN008","1975","201901200100","80","0","3"
"DD_MN008","1975","201901200200","90","0","3"
"DD_MN008","1975","201901200300","80","0","3"
"DD_MN008","1975","201901200400","90","0","3"
"DD_MN008","1975","201901200500","90","0","3"
"DD_MN008","1975","201901200600","90","0","3"
"DD_MN008","1975","201901200700","120","0","3"
"DD_MN008","1975","201901200800","110","0","3"
"DD_MN008","1975","201901200900","110","0","3"
"DD_MN008","1975","201901201000","110","0","3"
"DD_MN008","1975","201901201100","80","0","3"
"DD_MN008","1975","201901201200","110","0","3"
"DD_MN008","1975","201901201300","160","0","3"
"DD_MN008","1975","201901201400","180","0","3"
"DD_MN008","1975","201901201500","170","0","3"
"DD_MN008","1975","201901201600","160","0","3"
"DD_MN008","1975","201901201700","170","0","3"
"DD_MN008","1975","201901201800","140","0","3"
"DD_MN008","1975","201901201900","130","0","3"
"DD_MN008","1975","201901202000","150","0","3"
"DD_MN008","1975","201901202100","140","0","3"
"DD_MN008","1975","201901202200","140","0","3"
"DD_MN008","1975","201901202300","160","0","3"
"DD_MN008","1975","201901210000","170","0","3"
"DD_MN008","1975","201901210100","170","0","3"
"DD_MN008","1975","201901210200","180","0","3"
"DD_MN008","1975","201901210300","180","0","3"
"DD_MN008","1975","201901210400","170","0","3"
"DD_MN008","1975","201901210500","170","0","3"
"DD_MN008","1975","201901210600","180","0","3"
"DD_MN008","1975","201901210700","200","0","3"
"DD_MN008","1975","201901210800","210","0","3"
"DD_MN008","1975","201901210900","220","0","3"
"DD_MN008","1975","201901211000","210","0","3"
"DD_MN008","1975","201901211100","210","0","3"
"DD_MN008","1975","201901211200","220","0","3"
"DD_MN008","1975","201901211300","230","0","3"
"DD_MN008","1975","201901211400","220","0","3"
"DD_MN008","1975","201901211500","220","0","3"
"DD_MN008","1975","201901211600","210","0","3"
"DD_MN008","1975","201901211700","220","0","3"
"DD_MN008","1975","201901211800","230","0","3"
"DD_MN008","1975","201901211900","240","0","3"
"DD_MN008","1975","201901212000","230","0","3"
"DD_MN008","1975","201901212100","220","0","3"
"DD_MN008","1975","201901212200","240","0","3"
"DD_MN008","1975","201901212300","240","0","3"
"DD_MN008","1975","201901220000","210","0","3"
"DD_MN008","1975","201901220100","210","0","3"
"DD_MN008","1975","201901220200","210","0","3"
"DD_MN008","1975","201901220300","220","0","3"
"DD_MN008","1975","201901220400","170","0","3"
"DD_MN008","1975","201901220500","160","0","3"
"DD_MN008","1975","201901220600","170","0","3"
"DD_MN008","1975","201901220700","140","0","3"
"DD_MN008","1975","201901220800","140","0","3"
"DD_MN008","1975","201901220900","140","0","3"
"DD_MN008","1975","201901221000","140","0","3"
"DD_MN008","1975","201901221100","150","0","3"
"DD_MN008","1975","201901221200","150","0","3"
"DD_MN008","1975","201901221300","150","0","3"
"DD_MN008","1975","201901221400","150","0","3"
"DD_MN008","1975","201901221500","130","0","3"
"DD_MN008","1975","201901221600","130","0","3"
"DD_MN008","1975","201901221700","130","0","3"
"DD_MN008","1975","201901221800","150","0","3"
"DD_MN008","1975","201901221900","140","0","3"
"DD_MN008","1975","201901222000","150","0","3"
"DD_MN008","1975","201901222100","150","0","3"
"DD_MN008","1975","201901222200","150","0","3"
"DD_MN008","1975","201901222300","140","0","3"
"DD_MN008","1975","201901230000","140","0","3"
"DD_MN008","1975","201901230100","140","0","3"
"DD_MN008","1975","201901230200","130","0","3"
"DD_MN008","1975","201901230300","130","0","3"
"DD_MN008","1975","201901230400","140","0","3"
"DD_MN008","1975","201901230500","130","0","3"
"DD_MN008","1975","201901230600","130","0","3"
"DD_MN008","1975","201901230700","120","0","3"
"DD_MN008","1975","201901230800","130","0","3"
"DD_MN008","1975","201901230900","120","0","3"
"DD_MN008","1975","201901231000","120","0","3"
"DD_MN008","1975","201901231100","120","0","3"
"DD_MN008","1975","201901231200","120","0","3"
"DD_MN008","1975","201901231300","90","0","3"
"DD_MN008","1975","201901231400","90","0","3"
"DD_MN008","1975","201901231500","100","0","3"
"DD_MN008","1975","201901231600","100","0","3"
"DD_MN008","1975","201901231700","90","0","3"
"DD_MN008","1975","201901231800","70","0","3"
"DD_MN008","1975","201901231900","60","0","3"
"DD_MN008","1975","201901232000","30","0","3"
"DD_MN008","1975","201901232100","90","0","3"
